attribute_id,attribute_code,frontend_input,default_value,is_unique,is_required,scope,apply_to,is_configurable,is_searchable,is_visible_in_advanced_search,is_comparable,is_used_for_promo_rules,is_visible_on_front,used_in_product_listing,additional_fields,options,frontend_label
387,product_video_url002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_url002
388,product_video_title002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_title002
389,product_video_desc002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_desc002
390,product_video_desc003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_desc003
391,product_video_title003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_title003
392,product_video_url003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_url003
393,product_video_url004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_url004
394,product_video_title004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_title004
395,product_video_desc004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_desc004
396,product_video_desc005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_desc005
397,product_video_title005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_title005
398,product_video_url005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,product_video_url005
399,screensize,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""1"",""is_filterable_in_search"":""0"",""position"":""2"",""used_for_sort_by"":""0""}","2.0"", 2.4"", 2.7"", 2.8"", 3.0"", 3.5"", 4.0"", 4.3"", 5.0"", 6.2""","Screen Size, Schermgrootte, Schermgrootte, Screen Size, Taille de l'écran, Bildschirmgröße, Taille de l'écran"
400,resolution_format,multiselect,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""1"",""is_filterable_in_search"":""0"",""position"":""3""}","720p 30fps, 1080P /60 fps, HD (720P), HD 720P @ 30f, HDR 2K (1440P/30fps) , HD 720P @ 60f, HDR (1080p 30fps), Full HD(1080P), Full HD (1080p 30fps), Full HD (1080p 60fps), High Speed Recording (1080P/60fps), High Speed Recording（720P/60fps), High Speed Recording (1080P/120fps), High Speed Recording 2K (1440P/60fps), SuperHD (1296P), 2K UHD (1296P), 2K (1296P/1440P), 2K (1440P/1600P), 2K (1440P), 2K QHD (1440P), 2.5K QHD (1440P), 2.5K (1600P), Front/Rear Full HD(1080P), 2.8K (1600P), WQHD 2K 1440P / 30fps, 4K (2160P/30fps)","Video Resolution, Video resolutie, Video resolutie, Video Resolution, Video Resolution, Résolution vidéo, Videoauflösung, Résolution vidéo"
402,series_filter_tw,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""1"",""is_filterable_in_search"":""1"",""position"":""0"",""used_for_sort_by"":""0""}","8 Series, 7 Series, J Series, 6 Series, C Series, ViVa Series, Combo Device, Dual Series, R Series, Rear Cam Series, M Series, MiVue™ Series","Series, Series, Series"
403,product_banner_title002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
404,product_banner_title_color002,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
407,font_anim_delay002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Text Animation Delay (ms)"
408,font_anim002,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Text Animation"
409,product_banner_btn002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Button Text"
410,product_banner_btn_color002,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Call to Action Button Color"
411,product_banner_btn_url002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Call to Action Link"
412,img_anim_delay002,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Image Animation Delay (ms)"
413,img_anim002,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Image Animation"
414,product_banner_title003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
415,product_banner_title_color003,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
416,product_banner_desc003,textarea,,0,0,store,,0,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""1""}",,Description
417,product_banner_desc_color003,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Description Color"
418,font_anim_delay003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Text Animation Delay (ms)"
419,font_anim003,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Text Animation"
420,product_banner_btn003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Button Text"
421,product_banner_btn_color003,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Call to Action Button Color"
422,product_banner_btn_url003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Call to Action Link"
423,img_anim_delay003,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Image Animation Delay (ms)"
424,img_anim003,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Image Animation"
425,product_banner_title004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
426,product_banner_title_color004,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
427,product_banner_desc004,textarea,,0,0,store,,0,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""1""}",,Description
428,product_banner_desc_color004,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Description Color"
429,font_anim_delay004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Text Animation Delay (ms)"
430,font_anim004,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Text Animation"
431,product_banner_btn004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Button Text"
432,product_banner_btn_color004,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Call to Action Button Color"
434,product_banner_btn_url004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Call to Action Link"
435,img_anim_delay004,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Image Animation Delay (ms)"
436,img_anim004,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Image Animation"
437,product_banner_title005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
438,product_banner_title_color005,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
439,product_banner_desc005,textarea,,0,0,store,,0,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""1""}",,Description
440,product_banner_desc_color005,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Description Color"
441,font_anim_delay005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Text Animation Delay (ms)"
442,font_anim005,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Text Animation"
443,product_banner_btn005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Button Text"
444,product_banner_btn_color005,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Call to Action Button Color"
445,product_banner_btn_url005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Call to Action Link"
446,img_anim_delay005,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Image Animation Delay (ms)"
447,img_anim005,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Image Animation"
448,product_banner_title006,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
449,product_banner_title_color006,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
450,product_banner_desc006,textarea,,0,0,store,,0,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""1""}",,Description
451,product_banner_desc_color006,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Description Color"
452,font_anim_delay006,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Text Animation Delay (ms)"
453,font_anim006,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Text Animation"
454,product_banner_btn006,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Button Text"
455,product_banner_btn_color006,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Call to Action Button Color"
456,product_banner_btn_url006,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Call to Action Link"
457,img_anim_delay006,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,"Image Animation Delay (ms)"
458,img_anim006,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","from-left, from-right","Image Animation"
459,product_banner_title007,text,,0,0,store,,0,0,0,0,0,0,0,"{""frontend_class"":null,""is_html_allowed_on_front"":""1"",""used_for_sort_by"":""0""}",,Title
460,product_banner_title_color007,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Title Color"
461,product_banner_desc007,textarea,,0,0,store,,0,0,0,0,0,0,0,"{""is_wysiwyg_enabled"":""0"",""is_html_allowed_on_front"":""1""}",,Description
462,product_banner_desc_color007,select,,0,0,store,,0,0,0,0,0,0,0,"{""is_filterable"":""0"",""is_filterable_in_search"":""0"",""position"":""0"",""used_for_sort_by"":""0""}","dark, gray, light, main","Description Color"
