category_id,is_active,position,level,parent_id,name,url_key,description,created_at,updated_at,children_count,include_in_menu
84,0,5,1,1,MioSPACE™,miospacetm,,2019-10-02T23:04:22+01:00,"2024-02-15 11:52:05",1,1
85,1,7,3,12,"Store with Fitting / workshop facilities",bruce-test,,2019-10-02T23:46:19+01:00,"2019-10-03 00:34:47",0,1
86,1,1,3,59,"L1000 Series",l1000-series,,2019-10-18T03:50:51+01:00,"2019-10-18 02:51:41",0,1
87,0,1,2,84,"Interactive Tablets",interactive-tablets,,2019-10-18T03:52:43+01:00,"2024-02-15 11:51:17",0,1
88,1,1,3,35,F740s,f740s,,2019-10-31T18:19:15+00:00,"2024-02-06 16:12:19",0,1
89,1,1,3,31,Devices,devices,,2019-11-26T04:42:17+00:00,"2019-11-28 06:20:22",1,1
90,1,6,2,2,Maps,maps,,2019-11-26T04:44:02+00:00,"2019-12-04 09:11:31",0,1
91,1,7,2,2,Accessories,accessories,,2019-11-26T04:46:39+00:00,"2019-12-04 09:22:40",0,1
92,1,10,2,2,Software,software,,2019-11-26T04:49:52+00:00,"2019-11-28 06:22:32",2,1
93,1,8,2,2,"Safety Cameras",safety-cameras,,2019-11-26T04:50:52+00:00,"2019-12-04 09:21:49",0,1
94,1,5,2,2,"Cycling Navigations",cycling-navigations,,2019-11-26T04:52:16+00:00,"2020-04-13 09:52:19",1,1
95,1,4,2,2,"Car Navigations",car-navigations,,2019-11-26T04:54:22+00:00,"2019-12-05 17:41:37",7,1
96,0,1,4,89,"EOL devices",eol-devices,,2019-11-26T04:55:55+00:00,"2019-12-06 11:11:42",0,1
97,1,3,2,2,"Dash Cameras",dash-cameras,,2019-11-26T04:57:04+00:00,"2020-03-02 10:26:28",8,1
98,1,1,3,92,"Travel Books",travel-books,,2019-11-26T05:00:42+00:00,"2019-11-28 06:22:52",0,1
99,1,9,2,2,"Truck Mode",truck-mode,,2019-11-26T05:03:08+00:00,"2019-12-04 09:26:09",0,1
100,1,2,3,92,"TMC Activation",tmc-activation,,2019-11-26T05:04:48+00:00,"2019-11-28 06:24:35",0,1
101,1,12,2,2,"Mio Upgrade Offer ",mio-trade-in,,2019-12-05T14:58:29+00:00,"2020-04-08 16:04:13",0,1
102,1,1,3,97,"8 Series",8-series,,2019-12-11T09:56:25+00:00,"2019-12-19 18:16:26",0,1
103,1,7,2,80,Cradle,cradle,,2019-12-17T17:30:33+00:00,"2020-01-13 09:42:56",0,1
104,0,6,1,1,cradle,cradle,,2019-12-17T17:45:31+00:00,"2019-12-17 17:45:45",0,1
105,1,2,3,97,"7 Series",7-series,,2019-12-19T17:50:27+00:00,"2019-12-19 18:18:45",0,1
106,1,3,3,97,"J Series",j-series,,2019-12-19T17:51:38+00:00,"2019-12-19 18:25:14",0,1
